Effective.date,S.P.500,Narcissus.Core.Equity.Sustainability.Fund..NAV.in...,Pietro.Advisory.Sustainable.Large.Cap.ETF..NAV.in...,Dow.Jones.U.S..Large.Cap.Total.Stock.Market.Index,S.P.500.Energy..Sector.,S.P.500.Utilities..Sector.,Effective.date,S.P.500.Communication.Services..Sector.,S.P.500.Consumer.Discretionary..Sector.,S.P.500.Consumer.Staples..Sector.,S.P.500.Financials..Sector.,S.P.500.Health.Care..Sector.,S.P.500.Industrials..Sector.,S.P.500.Information.Technology..Sector.,S.P.500.Materials..Sector.,S.P.500.Real.Estate..Sector.
1/6/2023,4221.02,79.39,129.9,9815.33,592.86,325.4,1/6/2023,213.08,1202.5,756.44,532.48,1496.25,827.19,2934.83,476.86,225.83
3/7/2023,4455.59,82.07,137.12,10372.54,625.5,335.02,3/7/2023,216.36,1344.84,784.19,564.63,1535.95,908.72,3076.34,523.53,238.68
1/8/2023,4576.73,82.07,140.85,10676.37,665.88,336.34,1/8/2023,229.97,1346.88,790.27,587.32,1553.85,936.97,3169.9,537.08,239.18
1/9/2023,4515.77,81.03,138.75,10523.5,691.39,316.1,1/9/2023,228.48,1337.52,757.65,575.27,1552.95,917.58,3128.21,526.13,231.8
2/10/2023,4288.39,84.79,131.59,9991.56,680.95,285.09,2/10/2023,225.47,1267.6,722.67,547.53,1499.6,849.73,2944.16,488.08,210.08
1/11/2023,4237.86,87.82,130.19,9849.96,649.85,306.19,1/11/2023,221.76,1224.35,716.98,541.07,1453.86,834.83,2963.95,479.1,208.61
1/12/2023,4594.63,91.78,141.37,10717.13,644.36,320.51,1/12/2023,234.23,1353.94,747.05,599.47,1532.57,917.07,3278.62,522.84,237.93
2/1/2024,4742.83,93.76,145.98,11073.97,647.66,326.37,2/1/2024,243.76,1405.01,771.02,628.79,1618.4,955.58,3309.49,538.56,253.92
1/2/2024,4906.19,98.38,150.94,11446.51,636.32,317.95,1/2/2024,260.17,1394.73,788.04,645.13,1656.3,972.12,3578.75,527.02,243.73
1/3/2024,5137.08,102.22,157.96,11999.63,660.81,311.46,1/3/2024,273.9,1491.02,788.91,668.58,1702.79,1026.2,3815.25,553.03,248.07
1/4/2024,5243.77,97.75,161.13,12246.07,726.95,331.34,1/4/2024,288.43,1476.47,807.99,696.94,1708.85,1058.31,3829.66,583.67,243.76
1/5/2024,5018.39,100.98,154.35,11711.82,703.53,342.68,1/5/2024,280.31,1420.56,800.59,670.98,1638.59,1025.94,3567.13,560.96,227.05
3/6/2024,5283.4,105.5,162.45,12296.74,689.64,362.83,3/6/2024,297.67,1425.53,824.2,687.13,1683.21,1029.99,4011.24,571.77,237.16
1/7/2024,5475.09,107.99,168.11,12725.9,698.36,343.95,1/7/2024,310.49,1503.07,814.34,685.76,1690.81,1020.62,4397.51,547.9,238.78
1/8/2024,5446.68,105.63,167.51,12672.53,694.15,376.49,1/8/2024,299.95,1482.39,843.46,717.43,1761.08,1062.17,4106.25,578.5,262.42
